tokenizer,backbone,seed,vocab,max_len,total_tokens,acc,avg_len,p95_len,distortion_hat,p95_latency_ms,n_params,params_m,_source
BPE,mini,0,2048,512,10000000,0.8504452861091207,106.31292865185792,111,0.20627027908430753,1.3922879695892334,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed0/results.csv
BPE,small,0,2048,512,10000000,0.7606715119254785,106.31292865185792,111,0.20627027908430753,3.6636159420013428,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed0/results.csv
WordPiece,mini,0,2048,512,10000000,0.8492169106356843,106.44098679496366,112,0.18305063842484467,1.44486403465271,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed0/results.csv
WordPiece,small,0,2048,512,10000000,0.7606715119254785,106.44098679496366,112,0.18305063842484467,3.693567991256714,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed0/results.csv
Unigram,mini,0,2048,512,10000000,0.8400040945849114,232.96079434947282,245,0.28791169467047967,3.018752098083496,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed0/results.csv
Unigram,small,0,2048,512,10000000,0.7601596888115467,232.96079434947282,245,0.28791169467047967,7.775231838226318,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed0/results.csv
Bytes,mini,0,2048,512,10000000,0.7991606100931518,336.47783805916674,347,0.28698293943442005,4.618239879608154,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed0/results.csv
Bytes,small,0,2048,512,10000000,0.8195311700276384,336.47783805916674,347,0.28698293943442005,11.745280265808105,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed0/results.csv
CIT,mini,0,2048,512,10000000,0.8498310983724024,60.534548060190396,69,0.13812096784252623,1.1816960573196411,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed0/results.csv
CIT,small,0,2048,512,10000000,0.7606715119254785,60.534548060190396,69,0.13812096784252623,2.539520025253296,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed0/results.csv
BPE,mini,1,2048,512,10000000,0.8522878493192753,106.31579486129594,112,0.15733263058292604,1.4141440391540527,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed1/results.csv
BPE,small,1,2048,512,10000000,0.8094994369945747,106.31579486129594,112,0.15733263058292604,3.932159900665283,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed1/results.csv
WordPiece,mini,1,2048,512,10000000,0.8534138601699253,106.44334118128775,112,0.15253285756636303,1.4478720426559448,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed1/results.csv
WordPiece,small,1,2048,512,10000000,0.7606715119254785,106.44334118128775,112,0.15253285756636303,3.9383039474487305,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed1/results.csv
Unigram,mini,1,2048,512,10000000,0.8442010441191524,232.94277817586243,245,0.3745269999919872,3.7007999420166016,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed1/results.csv
Unigram,small,1,2048,512,10000000,0.808475790766711,232.94277817586243,245,0.3745269999919872,9.062399864196777,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed1/results.csv
Bytes,mini,1,2048,512,10000000,0.8278227044733341,336.54314668850446,347,0.3438088589556967,4.72057580947876,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed1/results.csv
Bytes,small,1,2048,512,10000000,0.8046882997236156,336.54314668850446,347,0.3438088589556967,12.27673625946045,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed1/results.csv
CIT,mini,1,2048,512,10000000,0.8537209540382844,60.646125499027534,70,0.1157004109093304,1.136639952659607,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed1/results.csv
CIT,small,1,2048,512,10000000,0.7621046166444877,60.646125499027534,70,0.1157004109093304,2.488607883453369,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed1/results.csv
BPE,mini,2,2048,512,10000000,0.8503429214863343,106.3424096632204,112,0.19350281766307778,1.4450880289077759,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed2/results.csv
BPE,small,2,2048,512,10000000,0.7606715119254785,106.3424096632204,112,0.19350281766307778,3.644416093826294,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed2/results.csv
WordPiece,mini,2,2048,512,10000000,0.8500358276179752,106.46954652472105,112,0.17072609502426558,1.3875199556350708,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed2/results.csv
WordPiece,small,2,2048,512,10000000,0.7951683898044836,106.46954652472105,112,0.17072609502426558,3.660032033920288,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed2/results.csv
Unigram,mini,2,2048,512,10000000,0.8385709898659024,233.05824547036545,246,0.3714604336303986,3.0597119331359863,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed2/results.csv
Unigram,small,2,2048,512,10000000,0.7606715119254785,233.05824547036545,246,0.3714604336303986,7.784448146820068,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed2/results.csv
Bytes,mini,2,2048,512,10000000,0.8011055379260927,336.62196744804993,348,0.43101210746785396,4.659200191497803,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed2/results.csv
Bytes,small,2,2048,512,10000000,0.8014126317944519,336.62196744804993,348,0.43101210746785396,11.981439590454102,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed2/results.csv
CIT,mini,2,2048,512,10000000,0.8477838059166752,60.641621455624936,70,0.11892164190313476,1.1745280027389526,3815426,3.815426,results/paper/e3_budget_sweep/tok10M/seed2/results.csv
CIT,small,2,2048,512,10000000,0.7606715119254785,60.641621455624936,70,0.11892164190313476,2.475008010864258,11631362,11.631362,results/paper/e3_budget_sweep/tok10M/seed2/results.csv
BPE,mini,0,2048,512,1000000,0.8333503941037977,106.31292865185792,111,0.20627027908430753,1.3863680362701416,3815426,3.815426,results/paper/e3_budget_sweep/tok1M/seed0/results.csv
BPE,small,0,2048,512,1000000,0.7606715119254785,106.31292865185792,111,0.20627027908430753,3.6608641147613525,11631362,11.631362,results/paper/e3_budget_sweep/tok1M/seed0/results.csv
WordPiece,mini,0,2048,512,1000000,0.8402088238304842,106.44098679496366,112,0.18470575532792086,1.3926399946212769,3815426,3.815426,results/paper/e3_budget_sweep/tok1M/seed0/results.csv
WordPiece,small,0,2048,512,1000000,0.8248541304125294,106.44098679496366,112,0.18470575532792086,3.6720640659332275,11631362,11.631362,results/paper/e3_budget_sweep/tok1M/seed0/results.csv
Unigram,mini,0,2048,512,1000000,0.8282321629644794,232.96079434947282,245,0.28791169467047967,2.998271942138672,3815426,3.815426,results/paper/e3_budget_sweep/tok1M/seed0/results.csv
Unigram,small,0,2048,512,1000000,0.7606715119254785,232.96079434947282,245,0.28791169467047967,7.712992191314697,11631362,11.631362,results/paper/e3_budget_sweep/tok1M/seed0/results.csv
Bytes,mini,0,2048,512,1000000,0.7429624321834374,336.47783805916674,347,0.28698293943442005,4.567840099334717,3815426,3.815426,results/paper/e3_budget_sweep/tok1M/seed0/results.csv
Bytes,small,0,2048,512,1000000,0.7606715119254785,336.47783805916674,347,0.28698293943442005,11.575296401977539,11631362,11.631362,results/paper/e3_budget_sweep/tok1M/seed0/results.csv
CIT,mini,0,2048,512,1000000,0.8304841846657796,60.534548060190396,69,0.13812096784252623,1.1868159770965576,3815426,3.815426,results/paper/e3_budget_sweep/tok1M/seed0/results.csv
CIT,small,0,2048,512,1000000,0.8352953219367386,60.534548060190396,69,0.13812096784252623,2.5058560371398926,11631362,11.631362,results/paper/e3_budget_sweep/tok1M/seed0/results.csv
BPE,mini,1,2048,512,1000000,0.8332480294810114,106.31579486129594,112,0.15733263058292604,1.4049279689788818,3815426,3.815426,results/paper/e3_budget_sweep/tok1M/seed1/results.csv
BPE,small,1,2048,512,1000000,0.8119561879414474,106.31579486129594,112,0.15733263058292604,3.911679983139038,11631362,11.631362,results/paper/e3_budget_sweep/tok1M/seed1/results.csv
WordPiece,mini,1,2048,512,1000000,0.8358071450506704,106.44334118128775,112,0.15095779921897962,1.410048007965088,3815426,3.815426,results/paper/e3_budget_sweep/tok1M/seed1/results.csv
WordPiece,small,1,2048,512,1000000,0.8228068379568021,106.44334118128775,112,0.15095779921897962,3.9139840602874756,11631362,11.631362,results/paper/e3_budget_sweep/tok1M/seed1/results.csv
Unigram,mini,1,2048,512,1000000,0.8057119459514792,232.94277817586243,245,0.3745269999919872,3.6577279567718506,3815426,3.815426,results/paper/e3_budget_sweep/tok1M/seed1/results.csv
Unigram,small,1,2048,512,1000000,0.7989558808475791,232.94277817586243,245,0.3745269999919872,8.92416000366211,11631362,11.631362,results/paper/e3_budget_sweep/tok1M/seed1/results.csv
Bytes,mini,1,2048,512,1000000,0.7606715119254785,336.54314668850446,347,0.3438088589556967,4.700160026550293,3815426,3.815426,results/paper/e3_budget_sweep/tok1M/seed1/results.csv
Bytes,small,1,2048,512,1000000,0.7666086600470877,336.54314668850446,347,0.3438088589556967,12.146528244018555,11631362,11.631362,results/paper/e3_budget_sweep/tok1M/seed1/results.csv
CIT,mini,1,2048,512,1000000,0.8443034087419388,60.646125499027534,70,0.1157004109093304,1.1301120519638062,3815426,3.815426,results/paper/e3_budget_sweep/tok1M/seed1/results.csv
CIT,small,1,2048,512,1000000,0.8260825058859658,60.646125499027534,70,0.1157004109093304,2.4576001167297363,11631362,11.631362,results/paper/e3_budget_sweep/tok1M/seed1/results.csv
